ref,name,city
2480,Międzyrzecze Górne,Bielsko Biała
2484,Międzyrzecze Dolne Boisko,Bielsko Biała
2488,Międzyrzecze Dolne Młyn,Bielsko Biała

2487,Międzyrzecze Dolne,Bielsko Biała
2489,Międzyrzecze Dolne Młyn,Bielsko Biała
2485,Międzyrzecze Dolne Boisko,Bielsko Biała
2481,Miedzyrzecze Górne,Bielsko Biała
2479,Międzyrzecze Górne OSP,Bielsko Biała
2477,Międzyrzecze Górne Ośrodek Zdrowia,Bielsko Biała
2464,Międzyrzecze Górne Kopiec,Bielsko Biała
2457,Międzyrzecze Górne Granica,Bielsko Biała
231,Międzyrzecka Wiadukt,Bielsko Biała

361,Wyzwolenia Piekarska,Bielsko Biała
125,Janowicka Na Żadanie,Bielsko Biała
127,Janowicka Pod Kasztanem,Bielsko Biała
2164,Janowice Niklówka,Bielsko Biała
2162,Janowice Leśniczówka,Bielsko Biała
2168,Janowice Kościół,Bielsko Biała
2170,Janowice Stawy,Bielsko Biała

2172,Bestwina Piekarnia,Bielsko Biała
2171,Janowice Stawy,Bielsko Biała
2169,Janowice Kościół,Bielsko Biała
2163,Janowice Leśniczówka,Bielsko Biała
2165,Janowice Niklówka,Bielsko Biała
128,Janowicka Pod Kasztanem,Bielsko Biała
126,Janowicka Na Żadanie,Bielsko Biała

82,Filarowa Med Work,Bielsko Biała
83,Filarowa Zakłady Energetyczne,Bielsko Biała
2028,Bystra Szkoła,Bielsko Biała
2030,Bystra Sanatorium,Bielsko Biała
2032,Bystra Ława,Bielsko Biała
2034,Bystra Pod Źródłem,Bielsko Biała
2036,Bystra Skocznia,Bielsko Biała

2038,Bystra Leśniczówka,Bielsko Biała
2037,Bystra Skocznia,Bielsko Biała
2035,Bystra Pod Źródłem,Bielsko Biała
2033,Bystra Ława,Bielsko Biała
2031,Bystra Sanatorium,Bielsko Biała
2029,Bystra Szkoła,Bielsko Biała
84,Filarowa Zakłady Energetyczne,Bielsko Biała


186,Lipnik Granica,Bielsko Biała

137,Kamienica,Bielsko Biała
138,Kamienica Spółdzielnia,Bielsko Biała
350,Wyspiańskiego Piastowska,Bielsko Biała
352,Wyspiańskiego Szpital,Bielsko Biała
303,Sobieskiego Wyspiańskiego,Bielsko Biała
49,Browarna,Bielsko Biała
61,Cieszyńska Osiedle Słoneczne,Bielsko Biała
79,Dzwonkowa Cieszyńska,Bielsko Biała

81,Wapienica Dzwonkowa,Bielsko Biała
60,Cieszyńska Osiedle Słoneczne,Bielsko Biała
48,Browarna,Bielsko Biała
302,Sobieskiego Wyspiańskiego,Bielsko Biała
351,Wyspiańskiego Szpital,Bielsko Biała
139,Kamienica Spółdzielnia,Bielsko Biała

31,Szyndzielnia,Bielsko Biała
22,Armii Krajowej Parking,Bielsko Biała
26,Armii Krajowej ZIAD,Bielsko Biała
20,Armii Krajowej Młodzieżowa,Bielsko Biała
28,Armii Krajowej Zieleń Miejska,Bielsko Biała

29,Armii Krajowej Zieleń Miejska,Bielsko Biała
21,Armii Krajowej Młodzieżowa,Bielsko Biała
27,Armii Krajowej ZIAD,Bielsko Biała
23,Armii Krajowej Parking,Bielsko Biała









